CalendarYearMonth,Value,District
2004-03,790889,City of London
2004-06,779549,City of London
2004-09,795734,City of London
2004-12,777074,City of London
2005-03,859914,City of London
2005-06,860752,City of London
2005-09,871486,City of London
2005-12,885003,City of London
2006-03,893590,City of London
2006-06,901735,City of London
2006-09,929015,City of London
2006-12,962454,City of London
2007-03,1028202,City of London
2007-06,1094804,City of London
2007-09,1173558,City of London
2007-12,1229956,City of London
2008-03,1242582,City of London
2008-06,1210076,City of London
2008-09,1129461,City of London
2008-12,1093083,City of London
2009-03,1058627,City of London
2009-06,1043976,City of London
2009-09,1101834,City of London
2009-12,1149770,City of London
2010-03,1192712,City of London
2010-06,1242257,City of London
2010-09,1302591,City of London
2010-12,1309818,City of London
2011-03,1362168,City of London
2011-06,1368827,City of London
2011-09,1338641,City of London
2011-12,1356448,City of London
2012-03,1324719,City of London
2012-06,1316607,City of London
2012-09,1374737,City of London
2012-12,1408357,City of London
2013-03,1474285,City of London
2013-06,1611264,City of London
2013-09,1768246,City of London
2013-12,1885931,City of London
2014-03,1926164,City of London
2014-06,1950628,City of London
2014-09,2126560,City of London
2014-12,2245362,City of London
2015-03,2330756,City of London
2015-06,2371611,City of London
2015-09,2379707,City of London
2015-12,2314074,City of London
2016-03,2304585,City of London
2016-06,2297774,City of London
2016-09,2280966,City of London
2016-12,2374574,City of London
2017-03,2360556,City of London
2017-06,2408666,City of London
2017-09,2456985,City of London
2017-12,2410963,City of London
1995-12,182032,Croydon
1996-03,182464,Croydon
1996-06,186672,Croydon
1996-09,191548,Croydon
1996-12,195667,Croydon
1997-03,199381,Croydon
1997-06,202325,Croydon
1997-09,207685,Croydon
1997-12,213854,Croydon
1998-03,220193,Croydon
1998-06,225779,Croydon
1998-09,233340,Croydon
1998-12,239679,Croydon
1999-03,244243,Croydon
1999-06,251418,Croydon
1999-09,259733,Croydon
1999-12,271097,Croydon
2000-03,279946,Croydon
2000-06,293776,Croydon
2000-09,306342,Croydon
2000-12,322238,Croydon
2001-03,332413,Croydon
2001-06,342733,Croydon
2001-09,359520,Croydon
2001-12,370254,Croydon
2002-03,383561,Croydon
2002-06,404995,Croydon
2002-09,424967,Croydon
2002-12,448193,Croydon
2003-03,468156,Croydon
2003-06,483811,Croydon
2003-09,500901,Croydon
2003-12,513880,Croydon
2004-03,522224,Croydon
2004-06,536135,Croydon
2004-09,544628,Croydon
2004-12,552063,Croydon
2005-03,559431,Croydon
